[[0100100110110000010001000100001010000000001000000001000010000000], [0010000010101010]]
[[0110000010010111100010000100000000100000010000000100000001000000], [1000001010101010]]
[[0110000010001000100100100010000101000100000010000010000000010000], [1000001010001000]]
[[0111001010000101100010001000000000100000010000001000000001000000], [0010101000001000]]
[[0111100010000000100000101000010010000000000100010010000000000100], [0010101010000010]]
[[0110100010010100100000100100000010000000010000000010000100000010], [0010100010000010]]
[[0111000010000110100000001000100100010000010000000100000000010000], [0010101000000000]]
[[0101000010100010010010011000010000100000000100000100000000100000], [1000100000101000]]
[[0110000010010000100000100100110100010000000100000010000000010000], [0010100010100010]]
[[0101010010101000010000101000000001000000100000000010000100000010], [0010001000101000]]
[[0110000010001000100100000010000001000100000010110000010000000100], [0110100101100101]]
[[0100100110100000010100100010000010000100000010000010000010000000], [0010001010001010]]
[[0100000010110000010000100100110000010000000100000010000100000010], [1000101000000010]]
[[0110000010010000100001100100100000010000001000010010000000000100], [1000001000101000]]
[[0101000010100011010010001000000000100100000010000100000001000000], [1000100000101010]]
[[0110101010000100100100010010000010000000010000001000000000100000], [0010100010001000]]
[[0101000010100101010010001000000000100000010000100000010001000000], [1000100000100010]]
[[0110100010010000100000000100010010000010000100000000100100000010], [0010100010100010]]
[[0110000010010000100011000100000000100010001000000000100100000010], [1000001010100010]]
[[0100000010110000010011000100000100100000001000100000010000010000], [1000101000001000]]
[[0110000010000000100110010010010000100010000100000000100000100000], [1000001010000010]]
[[0110001010001000100101000010000001000000001000011000000000000100], [0010100000001010]]
[[0100100010100011010100000010000010000100000010000100000001000000], [1000100000101010]]
[[0100000010111000010000000100001001000100000010010001000000000100], [1000101010000010]]
[[0100010110101000010100100010000001000000100000000010000010000000], [0010001000101010]]
[[0110000010000000100100000010100100010110000010000000100000010000], [1001010001000001]]
[[0100000010100000010100100010100000010100000010010010000000000100], [0010001000101000]]
[[0110001010001000100100000010010101000000000100001000000000010000], [0001011000010101]]
[[0110000010000100100100100010100000010001010000000010000000001000], [1000001000101010]]
[[0101001110100100010000001000100000010000010000001000000010000000], [0010001000001010]]
[[0100100110100000010100000010000010000100000010100000010010000000], [0010001010001010]]
[[0110000010000001100110100010000000100100000010000010000001000000], [1000001010001010]]
[[0110000110001000100100000010010001000010000100000000100010000000], [0010100000101010]]
[[0110100010000000100101000010001010000000001000010001000000000100], [0010100010001010]]
[[0110001010001000100100000010010001000000000100001000000100000010], [0010100000101000]]
[[0111000010001000100000101000000001000101000010000010000000001000], [0010101000100010]]
[[0110000010011001100001100100000001000000001000000010000001000000], [1000001010101010]]
[[0111000010001100100000001000000101000000010000100000010000010000], [0010101000001000]]
[[0100000010110100010000000100100100010010010000000000100000010000], [1000101000101000]]
[[0110000010000100100110110010000000100000010000000010000000100000], [1000001010101010]]
[[0101000010100100010010101000000100100000010000000010000000010000], [1000100000100010]]
[[0110000010010000100010000100000000100101000010100000010000001000], [0001010010011001]]
[[0110000010010100100000000100100100010000010000100000010000010000], [1000001000100000]]
[[0110100010000000100100000010011010000000000100000001000100000010], [0010100010101000]]
[[0101000010100010010010001000000000100100000010010100000000000100], [1000100000101000]]
[[0101010010101000010000001000000001000000100000100000010100000010], [0010001000100010]]
[[0110000010001000100100000010010001000000000100110000010000000100], [0110100101100101]]
[[0100001010101000010101000010000101000000001000001000000000010000], [1000100010000010]]
[[0100011010110000010000000100100000010001100000001000000000001000], [0010000010101000]]
[[0110100010010010100000000100010010000000000100010100000000000100], [0010100010100000]]
[[0101000010100100010000101000100000010001010000000010000000001000], [1000100010100000]]
[[0110001010010000100010000100000000100101000010001000000000001000], [0001010010010101]]
[[0101111010100001010000001000000010000000100000001000000001000000], [0010001010101000]]
[[0100000010111000010001100100000101000000001000000010000000010000], [1000101010000000]]
[[0100000010110000010010010100010000100010000100000000100000100000], [1000101000001000]]
[[0111100010000000100001001000000010000010001000000000100100000010], [0010101010000010]]
[[0100011110110000010000000100100000010000100000001000000010000000], [0010000010101010]]
[[0100000010100001010110000010011000100000000100000001000001000000], [1000100000101010]]
[[0110010110010000100010000100000000100000100000100000010010000000], [0010100000100010]]
[[0100001110100000010101000010100000010000001000001000000010000000], [0010001000101010]]
[[0111101010000100100000001000000110000000010000001000000000010000], [0010101010001000]]
[[0100010010100000010100000010101000010000100000000001000100000010], [0110011001100110]]
[[0110110010010000100000000100000010000001100000100000010000001000], [0010100010100000]]
[[0100000010110100010010000100000000100011010000000000100000001000], [1000101000101010]]
[[0111010010000010100000001000100000010000100000010100000000000100], [0010101000100000]]
[[0101000010100000010001111000100000010000001000000010000000100000], [0010001000101010]]
[[0101000010100000010010011000000000100110000010000000100000100000], [1001000101000001]]
[[0110001010010000100001000100100100010000001000001000000000010000], [0010100010001010]]
[[0110000010000011100110000010010000100000000100000100000001000000], [1000001010001010]]
[[0101100010100010010000001000010010000000000100000100000100000010], [0010001010000010]]
[[0100000010110100010000000100100000010000010000100000010100000010], [1000101000100010]]
[[0110100010000010100101000010000010000001001000000100000000001000], [0010100010000000]]
[[0110101010010000100000000100010010000001000100001000000000001000], [0010100010101000]]
[[0110010010001000100100100010000001000000100000000010000100000010], [0010100000100010]]
[[0100000010100011010111000010000000100000001000000100000001000000], [1000100000001010]]
[[0110100010000100100100000010000010000000010000100000010100000010], [0010100010001000]]
[[0111000010000110100010001000000000100000010000000100000100000010], [0010101000000010]]
[[0111000010000000100011001000000000100010001000010000100000000100], [0010101000001010]]
[[0100000010111110010000000100000001000001010000000100000000001000], [1000101010101000]]
[[0100100010100000010101000010000010000000001000110000010000000100], [1001000101010000]]
[[0110010010010010100000010100100000010000100000000100000000100000], [0010100010100000]]
[[0110010010000000100110000010000100100000100000100000010000010000], [0010100000100010]]
[[0100101010110000010000000100010010000000000100011000000000000100], [0010000010101000]]
[[0110001010010100100000000100100100010000010000001000000000010000], [0010100010001010]]
[[0100010010100000010100000010100100010000100000100000010000010000], [0110011001100101]]
[[0101000110100000010000001000111000010000000100000001000010000000], [1000100010101000]]
[[0110100010000000100100000010010010000000000100100000010100000010], [0010100010100010]]
[[0100000010100000010111000010001000100000001000000001000100000010], [0010001010100010]]
[[0100000010100001010101100010100000010000001000000010000001000000], [0010001000101000]]
[[0110010010001010100100000010000001000001100000000100000000001000], [0010100000100010]]
[[0101100010100000010000101000010010000001000100000010000000001000], [0010001010001000]]
[[0101100010100100010000001000000010000000010000100000010100000010], [0010001010001000]]
[[0110010010000010100100000010100100010000100000000100000000010000], [0001011001010001]]
[[0110011010010000100010000100000000100001100000001000000000001000], [0010100000101010]]
[[0100011010110000010000000100100000010000100000011000000000000100], [0010000010101000]]
[[0110101010000000100100000010010110000000000100001000000000010000], [0010100010101010]]
[[0100000110100000010110100010010000100000000100000010000010000000], [0010001010001010]]
[[0100100010100000010100000010010010000000000100100000010100000010], [0010001010001000]]
[[0100000110100000010110000010010000100000000100100000010010000000], [0010001010001010]]
[[0100001010110001010000000100110000010000000100001000000001000000], [1000101000000010]]
